# 频道列表格式说明：
# 1. 国家行：单独一行，格式为"国家名称+国家代码"（如"英国UK"、"中国CN"）
# 2. 频道行：位于国家行下方，格式为"tvg-id,tvg-name,备注"
# 3. #开头为注释，空行自动忽略
# 提示：tvg-id和tvg-name需从原始EPG中复制准确值


中国CN
鳳凰衛視中文台,鳳凰衛視中文台,鳳凰中文
鳳凰衛視資訊台,鳳凰衛視資訊台,鳳凰資訊
鳳凰衛視香港台,鳳凰衛視香港台,鳳凰香港

HOY 國際財經台,HOY 國際財經台,HOY76 國際財經台
HOY TV,HOY TV,HOY77
HOY 資訊台,HOY 資訊台,HOY78 資訊台
HOY生活台,HOY生活台,HOY74 生活台
HOY劇集台,HOY劇集台,HOY73 劇集台
HOY怪談台,HOY怪談台,HOY72 怪谈台
HOY體育台,HOY體育台,HOY75 體育台
SportsPlus,SportsPlus,HOY711 SportsPlus
Travel & Food TV,Travel & Food TV,HOY720 Travel & Food TV
spot on news,spot on news,HOY740 Spot on news

368550,港台电视31,RTHK31
368551,港台电视32,RTHK32
368552,港台电视33,RTHK33
368553,港台电视34,RTHK34
368554,港台电视35,RTHK35

美亞電影台,美亞電影台,美亞電影台
PopC,PopC,PopC
天映经典香港,天映经典香港,天映经典香港
天映经典马来西亚,天映经典马来西亚,天映经典马来西亚
天映频道马来西亚,天映频道马来西亚,天映频道马来西亚
天映频道印尼,天映频道印尼,天映频道印尼
翡翠台(超高清),翡翠台(超高清),翡翠台4K
亞洲劇台,亞洲劇台,亞洲劇台
Thrill,Thrill,Thrill
亞洲新聞台,亞洲新聞台,亞洲新聞台
半島電視台英語頻道,半島電視台英語頻道,半島電視台英語頻道Al Jazeera

viu6,viu6,viu6
ViuTV,ViuTV,ViuTV

爆谷台,爆谷台,爆谷台
Now爆谷星影台,Now爆谷星影台,Now爆谷星影台
now新聞,now新聞,now新聞
now財經,now財經,now財經
now直播,now直播,now直播
410384,Now Sports 4K 1,Now Sports 4K 1
410385,Now Sports 4K 2,Now Sports 4K 2
410386,Now Sports 4K 3,Now Sports 4K 3
410396,Now Sports 1,Now Sports 1
410397,Now Sports 2,Now Sports 2
410398,Now Sports 3,Now Sports 3
410399,Now Sports 4,Now Sports 4
410400,Now Sports 5,Now Sports 5
410401,Now Sports 6,Now Sports 6
410402,Now Sports 7,Now Sports 7
410388,Now Sports 英超1台,Now Sports 英超1台
410389,Now Sports 英超2台,Now Sports 英超2台
410390,Now Sports 英超3台,Now Sports 英超3台
410391,Now Sports 英超4台,Now Sports 英超4台
410392,Now Sports 英超5台,Now Sports 英超5台
415544,Now Sports 英超6台,Now Sports 英超6台
415545,Now Sports 英超7台,Now Sports 英超7台
410406,Now Sports 641,Now Sports 641
421332,Now Sports 647,Now Sports 647
410412,Now Sports 651,Now Sports 651
410413,Now Sports 652,Now Sports 652
Now Sports Premier,Now Sports Premier,Now Sports 精選

澳门MO
澳視澳門,澳視澳門,澳視澳門
澳門葡萄牙,澳門葡萄牙,澳門葡萄牙
澳門資訊,澳門資訊,澳門資訊
澳門體育,澳門體育,澳門體育
澳門綜藝,澳門綜藝,澳門綜藝
澳門衛星,澳門衛星,澳門衛星Macau

台湾TW
民視,民視,民視
民視第一台,民視第一台,民視第一台
民視台灣台,民視台灣台,民視台灣台
民視綜藝台,民視綜藝台,民視綜藝台
民視新聞台,民視新聞台,民視新聞台
民視旅遊台,民視旅遊台,民視旅遊台
民視影劇台,民視影劇台,民視影劇台
中天新聞台,中天新聞台,中天新聞台
中天亞洲台,中天亞洲台,中天亞洲台
中天綜合台,中天綜合台,中天綜合台
中天娛樂台,中天娛樂台,中天娛樂台
東森電影台,東森電影台,東森電影台
東森洋片台,東森洋片台,東森洋片台
東森新聞台,東森新聞台,東森新聞台
東森戲劇台,東森戲劇台,東森戲劇台
東森綜合台,東森綜合台,東森綜合台
東森幼幼台,東森幼幼台,東森幼幼台
東森財經新聞台,東森財經新聞台,東森財經新聞台
東森購物一台,東森購物一台,東森購物一台
東森購物二台,東森購物二台,東森購物二台
非凡新聞台,非凡新聞台,非凡新聞台
非凡商業台,非凡商業台,非凡商業台
寰宇新聞台,寰宇新聞台,寰宇新聞台
寰宇新聞台灣台,寰宇新聞台灣台,寰宇新聞台灣台
寰宇財經台,寰宇財經台,寰宇財經台
中視,中視,中視
中視新聞台,中視新聞台,中視新聞台
中視菁采台,中視菁采台,中視菁采台
中視經典台,中視經典台,中視經典台
華視,華視,華視
華視新聞,華視新聞,華視新聞台
台視,台視,台視
台視新聞台,台視新聞台,台視新聞台
台視財經台,台視財經台,台視財經台
TVBS,TVBS,TVBS
TVBS新聞,TVBS新聞,TVBS新聞台
TVBS綜藝台,TVBS綜藝台,TVBS綜藝台
TVBS台劇台,TVBS台劇台,TVBS台劇台
TVBS精采台,TVBS精采台,TVBS精采台
TVBS歡樂台,TVBS歡樂台,TVBS歡樂台
八大綜藝台,八大綜藝台,八大綜藝台
八大精彩台,八大精彩台,八大精彩台
八大戲劇台,八大戲劇台,八大戲劇台
八大第一台,八大第一台,八大第一台
八大綜合台,八大綜合台,八大綜合台
緯來電影台,緯來電影台,緯來電影台
緯來體育台,緯來體育台,緯來體育台
緯來日本台,緯來日本台,緯來日本台
緯來綜合台,緯來綜合台,緯來綜合台
靖天映畫,靖天映畫,靖天映畫台
靖天電影台,靖天電影台,靖天電影台
靖天綜合台,靖天綜合台,靖天綜合台
靖天日本台,靖天日本台,靖天日本台
靖天卡通台,靖天卡通台,靖天卡通台
靖天育樂台,靖天育樂台,靖天育樂台
靖天戲劇台,靖天戲劇台,靖天戲劇台
靖天資訊台,靖天資訊台,靖天資訊台
KLT-靖天國際台,KLT-靖天國際台,靖天國際台
Nice TV 靖天歡樂台,Nice TV 靖天歡樂台,靖天歡樂台
靖洋卡通Nice Bingo,靖洋卡通Nice Bingo,靖洋卡通台
靖洋戲劇台,靖洋戲劇台,靖洋戲劇台
EYE TV戲劇台,EYE TV戲劇台,EYE TV戲劇台
第1商業台,第1商業台,第1商業台
鏡電視新聞台,鏡電視新聞台,鏡電視新聞台
AXN,AXN,AXN
ROCK Action HD,ROCK Action HD,ROCK Action
ROCK Entertainment,ROCK Entertainment,ROCK Entertainment
CinemaWorld,CinemaWorld,CinemaWorld
CINEMAX有線,CINEMAX有線,CINEMAX
HITS頻道,HITS頻道,HITS頻道
CatchPlay電影台,CatchPlay電影台,CatchPlay電影台
好萊塢電影台,好萊塢電影台,好萊塢電影台
三立綜合台,三立綜合台,三立綜合台
三立戲劇台,三立戲劇台,三立戲劇台
三立台灣台,三立台灣台,三立台灣台
三立都會台,三立都會台,三立都會台
三立新聞iNEWS,三立新聞iNEWS,三立新聞iNEWS
視納華仁紀實頻道,視納華仁紀實頻道,視納華仁紀實頻道
History 歷史頻道,History 歷史頻道,History 歷史頻道
新唐人亞太台,新唐人亞太台,新唐人亞太台
LiveABC互動英語頻道,LiveABC互動英語頻道,LiveABC互動英語頻道
NickJr.,NickJr.,NickJr.兒童頻道
Nickelodeon Asia尼克兒童頻道,Nickelodeon Asia尼克兒童頻道,Nickelodeon Asia尼克兒童頻道
DreamWorks 夢工廠動畫,DreamWorks 夢工廠動畫,DreamWorks 夢工廠動畫
momo親子台,momo親子台,momo親子台
BloombergTV,BloombergTV,BloombergTV
Lifetime 娛樂頻道,Lifetime 娛樂頻道,Lifetime 娛樂頻道
電影原聲台CMusic,電影原聲台CMusic,電影原聲台CMusic
MTV Live音樂頻道,MTV Live音樂頻道,MTV Live音樂頻道
INULTRA,INULTRA,INULTRA
車迷TV,車迷TV,車迷TV
滾動力rollor,滾動力rollor,滾動力rollor
GlobalTrekker,GlobalTrekker,GlobalTrekker
fun探索娛樂台,fun探索娛樂台,fun探索娛樂台
幸福空間居家台,幸福空間居家台,幸福空間居家台
Smart知識台,Smart知識台,Smart知識台
達文西頻道,達文西頻道,達文西頻道
亞洲旅遊台,亞洲旅遊台,亞洲旅遊台
動物星球頻道,動物星球頻道,動物星球頻道
BBC Earth,BBC Earth,BBC Earth
BBC Lifestyle Channel,BBC Lifestyle Channel,BBC Lifestyle
Asian Food Network 亞洲美食頻道,Asian Food Network 亞洲美食頻道,AFN 亞洲美食頻道
時尚運動X,時尚運動X,時尚運動X
GINX Esports TV,GINX Esports TV,GINX Esports TV
TRACE Sport Stars,TRACE Sport Stars,TRACE Sport Stars
TRACE Urban,TRACE Urban,TRACE Urban
MTV Live,MTV Live,MTV Live
CLASSICA 古典樂,CLASSICA 古典樂,CLASSICA 古典樂
Mezzo Live HD,Mezzo Live HD,Mezzo Live
LOVENATURE,LOVENATURE,LOVENATURE
LUXE TV,LUXE TV,LUXE TV
TV5MONDE STYLE HD 生活時尚,TV5MONDE STYLE HD 生活時尚,TV5MONDE STYLE HD 生活時尚
麥哲倫頻道,麥哲倫頻道,麥哲倫頻道
霹靂布袋戲,霹靂布袋戲,霹靂布袋戲
金光布袋戲,金光布袋戲,金光布袋戲
CI 罪案偵查頻道,CI 罪案偵查頻道,CI 罪案偵查頻道
人間衛視,人間衛視,人間衛視
客家電視台,客家電視台,客家電視台
半島國際新聞台,半島國際新聞台,半島國際新聞台
FRANCE24 英文台,FRANCE24 英文台,FRANCE24 英文台
CNBC Asia 財經台,CNBC Asia 財經台,CNBC Asia 財經台
SBN全球財經台,SBN全球財經台,SBN全球財經台
DW德國之聲,DW德國之聲,DW德國之聲
VOA美國之音,VOA美國之音,VOA美國之音
ARIRANG阿里郎頻道,ARIRANG阿里郎頻道,ARIRANG阿里郎頻道
韓國娛樂台 KMTV,韓國娛樂台 KMTV,韓國娛樂台 KMTV
經典電影台,經典電影台,經典電影台
經典卡通台,經典卡通台,經典卡通台
精選動漫台,精選動漫台,精選動漫台
戲劇免費看 1台,戲劇免費看 1台,戲劇免費看 1台
龍華戲劇台,龍華戲劇台,龍華戲劇台
龍華偶像台,龍華偶像台,龍華偶像台
龍華日韩台,龍華日韩台,龍華日韩台
龍華經典台,龍華經典台,龍華經典台
龍華卡通台,龍華卡通台,龍華卡通台
龍華經典台,龍華經典台,龍華經典台
龍華洋片台,龍華洋片台,龍華洋片台
龍華電影台,龍華電影台,龍華電影台
美亞電影HD,美亞電影HD,美亞電影台台灣
采昌影劇台,采昌影劇台,采昌影劇台
台灣戲劇HD,台灣戲劇HD,台灣戲劇台
公視戲劇,公視戲劇,公視戲劇
HBO,HBO,HBO
amc電影台,amc電影台,amc電影台
CINEMAX有線,CINEMAX有線,CINEMAX
ANIMAX,ANIMAX,ANIMAX
Warner TV,Warner TV,Warner TV
Thrill,Thrill,Thrill
My Cinema Europe HD 我的歐洲電影,My Cinema Europe HD 我的歐洲電影,My Cinema Europe HD 我的歐洲電影
影迷數位電影台,影迷數位電影台,影迷數位電影台
影迷數位紀實台,影迷數位紀實台,影迷數位紀實台
ELTV生活英語台,ELTV生活英語台,ELTV生活英語台
愛爾達娛樂台,愛爾達娛樂台,愛爾達娛樂台
愛爾達生活旅遊台,愛爾達生活旅遊台,愛爾達生活旅遊台
愛爾達體育1台,愛爾達體育1台,愛爾達體育1台
愛爾達體育2台,愛爾達體育2台,愛爾達體育2台
愛爾達體育3台,愛爾達體育3台,愛爾達體育3台
愛爾達體育4台,愛爾達體育4台,愛爾達體育4台
博斯魅力網,博斯魅力網,博斯魅力台
博斯高球一台,博斯高球一台,博斯高球台
博斯高球二台,博斯高球二台,博斯高球二台
博斯運動一台,博斯運動一台,博斯運動一台
博斯運動二台,博斯運動二台,博斯運動二台
博斯網球台,博斯網球台,博斯網球台
博斯無限台,博斯無限台,博斯無限台
博斯無限二台,博斯無限二台,博斯無限二台
智林體育台,智林體育台,智林體育台
國會頻道1,國會頻道1,國會頻道1
國會頻道2,國會頻道2,國會頻道2
好消息,好消息,好消息
好消息2台,好消息2台,好消息2台
豬哥亮歌廳秀,豬哥亮歌廳秀,豬哥亮歌廳秀

英国UK
431628,Sky Sports 1 UHD [UK],Sky Sports 1
431627,Sky Sports 2 UHD [UK],Sky Sports 2
9415,SkySpMainEvHD,Sky Sports Main Event
12453,SkySp PL HD,Sky Sports Premier League
12191,SkySp F'ball HD,Sky Sports Football
12024,SkySp ActionHD,Sky Sports Action
12434,SkySpCricket HD,Sky Sports Cricket
12190,SkySp F1 HD,Sky Sports F1
12022,SkySp Golf HD,Sky Sports Golf
12562,SkySp Mix,Sky Sports Mix
12200,SkySp Racing HD,Sky Sports Racing
212145,SkySp Tennis HD,Sky Sports Tennis
454969,Sky Sports NFL,Sky Sports NFL
6626,Sky Sports News HD,Sky Sports News
412959,Sky Sports + [UK],Sky Sports+
12118,Racing TV,Racing TV

400476,TNT Sports Ultimate,TNT Sports Ultimate (UHD/4K)
400477,TNT Sports 1 HD,TNT Sports 1
400480,TNT Sports 2 HD,TNT Sports 2
400479,TNT Sports 3 HD,TNT Sports 3
400478,TNT Sports 4 HD,TNT Sports 4

219100,Premier Sports 1 HD,Premier Sports 1
219104,Premier Sports 2 HD,Premier Sports 2

12160,Viaplay 1 HD,Viaplay Sports 1
12557,Viaplay 2 HD,Viaplay Sports 2

12185,Discovery,Discovery
12354,ID,Investigation Discovery
12180,Disc.History,Discovery History
12272,Sky History,History
12226,Sky History2,H2
9498,Crime+Inv HD,Crime & Investigation
12083,Nat Geo Wild,Nat Geo Wild
12084,Nickelodeon,Nickelodeon
9234,CBS Justice,CBS Justice
12163,TLC,TLC
12164,More4,More4
12376,POP,POP
12471,MTV HITS,MTV Hits
9206,BBC NEWS HD,BBC NEWS
76657,BBC One,BBC One
9459,BBC Two HD,BBC Two
9507,BBC Three HD,BBC Three
9474,BBC Four HD,BBC Four
9460,BBC RB 1 HD,BBC Red Button 1

Viaplay1(src01).uk,Viaplay Sports 1 UK,Viaplay Sports 1
Viaplay2(src01).uk,Viaplay Sports 2 UK,Viaplay Sports 2
ViaplayXtra.uk,Viaplay Xtra UK,Viaplay Xtra

Racing.TV.uk,Racing Tv UK,Racing TV
Eurosport.2.HD.uk,EuroSport 1 UK,EuroSport 1
Eurosport.2.HD.uk,EuroSport 2 UK,EuroSport 2
LFCTV.HD.uk,Liverpool TV (LFC TV),LFCTV
MUTV.HD.uk,MUTV UK,MUTV

Sky.Premiere.uk,Sky Cinema Premiere UK,Sky Cinema Premiere
Sky.Cinema.Select.uk,Sky Cinema Select UK,Sky Cinema Select
Sky.Cinema.Hits.HD.uk,Sky Cinema Hits UK,Sky Cinema Hits
Sky.Greats.uk,Sky Cinema Greats UK,Sky Cinema Greats
SkyAnimationHD.uk,Sky Cinema Animation UK,Sky Cinema Animation
Sky.Family.HD.uk,Sky Cinema Family UK,Sky Cinema Family
Sky.Action.uk,Sky Cinema Action UK,Sky Cinema Action
Sky.Comedy.Cinema.uk,Sky Cinema Comedy UK,Sky Cinema Comedy
