# 频道列表格式说明：
# 1. 国家行：单独一行，格式为"国家名称+国家代码"（如"英国UK"、"中国CN"）
# 2. 频道行：位于国家行下方，格式为"tvg-id,tvg-name,备注"
# 3. #开头为注释，空行自动忽略
# 提示：tvg-id和tvg-name需从原始EPG中复制准确值


中国CN
The Tennis Channel HD.us,The Tennis Channel HD.us,The Tennis Channel
Golf Channel USA HD.us,Golf Channel USA HD.us,Golf Channel
Willow Cricket HD.us,Willow Cricket HD.us,Willow Cricket
Willow Xtra.us,Willow Xtra.us,Willow Xtra
MLB Network HD.us,MLB Network HD.us,MLB Network
NFL Network HD.us,NFL Network HD.us,NFL Network
NFL RedZone HD.us,NFL RedZone HD.us,NFL RedZone
Fight Network USA HD.us,Fight Network USA HD.us,Fight Network
NHL Network USA HD.us,NHL Network USA HD.us,NHL Network
WFN World Fishing Network HD.us,WFN World Fishing Network HD.us,WFN World Fishing Network
ACC Network HD.us,ACC Network HD.us,ACC Network
HBO1 HD.us,HBO1 HD.us,HBO1
HBO HD  Pacific Feed.us,HBO HD  Pacific Feed.us,HBO
HBO 2  Pacific Feed HD.us,HBO 2  Pacific Feed HD.us,HBO 2
Cinemax  Pacific HD.us,Cinemax  Pacific HD.us,Cinemax
Discovery HD (US)  Pacific.us,Discovery HD (US)  Pacific.us,Discovery
Discovery Life Channel HD.us,Discovery Life Channel HD.us,Discovery Life Channel
Fox News HD.us,Fox News HD.us,Fox News
CNBC USA HD.us,CNBC USA HD.us,CNBC
NBC Universo HD  Eastern.us,NBC Universo HD  Eastern.us,NBC Universo

加拿大CA
409255,Sportsnet 360 [CA],Sportsnet 360
470446,TSN 1,TSN 1
470550,TSN 2,TSN 2
470888,TSN 3,TSN 3
470730,TSN 4,TSN 4
470390,TSN 5,TSN 5

墨西哥MX
415585,Fox Sports [MX],Fox Sports
415584,Fox Sports 2 [MX],Fox Sports 2
415586,Fox Sports 3 [MX],Fox Sports 3
427680,Sky Sports LaLiga [MX],Sky Sports LaLiga
427662,Sky Sports [MX],Sky Sports

巴西BR
465504,SporTV,SporTV
465418,SporTV 2,SporTV 2
465416,SporTV 3,SporTV 3

德国DE
401577,Sky Sport 1,Sky Sport 1
448621,Sky Sport 2,Sky Sport 2
10675,Sky Sport Top Event,Sky Sport Top Event
438445,Sky Sport Premier League,Sky Sport Premier League
212821,Sky Sport Bundesliga,Sky Sport Bundesliga
10785,Sky Sport Mix,Sky Sport Mix
10634,Sky Sport Tennis,Sky Sport Tennis
76632,DAZN,DAZN
451928,DAZN 1,DAZN 1
438441,sportdigital Fussball,SportDigital FUSSBALL

西班牙ES
406588,DAZN LALIGA [ES],DAZN LALIGA
406530,DAZN LALIGA 2 [ES],DAZN LALIGA 2
406568,M+ Liga de Campeones [ES],Liga de Campeones
LALIGA.TV.HYPERMOTION.es,LALIGA TV HYPERMOTION,Dazn Laliga Hypermotion

DAZN 1.es,DAZN 1.es,DAZN 1
DAZN LALIGA.es,DAZN LALIGA.es,DAZN LALIGA

法国FR
459266,Canal+ Sport,Canal+ Sport
55773,beIN SPORTS 1,beIN SPORTS 1
443147,beIN SPORTS 2,beIN SPORTS 2
54963,beIN SPORTS 3,beIN SPORTS 3
443103,beIN SPORTS MAX 5,beIN SPORTS MAX 5
55982,beIN SPORTS MAX 6,beIN SPORTS MAX 6
55920,beIN SPORTS MAX 7,beIN SPORTS MAX 7
443213,beIN SPORTS MAX 8,beIN SPORTS MAX 8
55983,beIN SPORTS MAX 9,beIN SPORTS MAX 9
443150,beIN SPORTS MAX 10,beIN SPORTS MAX 10

波兰PL
6338,Eleven Sports 1,Eleven Sports 1
6085,Eurosport 1 PL,Eurosport 1
7049,Eurosport 2 PL,Eurosport 2

荷兰NL
406806,Ziggo Sport 1 [NL],Ziggo Sport 1
406813,Ziggo Sport 2 [NL],Ziggo Sport 2
406807,Ziggo Sport 3 [NL],Ziggo Sport 3
406820,Ziggo Sport 4 [NL],Ziggo Sport 4
406816,Ziggo Sport 5 [NL],Ziggo Sport 5
406811,Ziggo Sport 6 [NL],Ziggo Sport 6

挪威NOR
407577,V Sport+ [NO],V Sport+
407574,V Sport 1 [NO],V Sport 1

瑞典SE
68288,Viasat Sport HD SE,V Sport

新加坡SG
Channel 5,Channel 5,Channel 5
Channel 8,Channel 8,Channel 8
Channel U,Channel U,Channel U
CNA,CNA,CNA
412140,Hub Premier 1,Hub Premier 1
412164,Hub Premier 2 (HD),Hub Premier 2
450711,Hub Premier 3,Hub Premier 3
472551,Hub Premier 4,Hub Premier 4
452962,Hub Premier 5,Hub Premier 5
455186,Hub Premier 6,Hub Premier 6
483423,Hub Premier 7,Hub Premier 7
450710,Hub Premier 8,Hub Premier 8
412169,Hub Sports 1 HD,Hub Sports 1
412154,Hub Sports 2 HD,Hub Sports 2
412105,Hub Sports 3 HD,Hub Sports 3
412198,Hub Sports 4 HD,Hub Sports 4
412160,Hub Sports 5 HD,Hub Sports 5
412182,Hub Sports 6,Hub Sports 6
455185,Hub Sports 7,Hub Sports 7
455187,Hub Sports 8,Hub Sports 8
369790,Premier Sports,Premier Sports
369750,beIN SPORTS (HD),beIN SPORTS
412129,beIN Sports 2 HD,beIN Sports 2
412175,beIN Sports 3,beIN Sports 3
492708,beIN SPORTS 4 HD,beIN Sports 4
492707,beIN SPORTS 5 HD,beIN Sports 5
412181,SPOTV,SPOTV
412187,SPOTV2,SPOTV2
412165,FIGHT SPORTS HD,FIGHT SPORTS

马来西亚Astro
399518,Astro Sports UHD,Astro Sports UHD
397396,Astro Premier League,Astro Premier League
397397,Astro Premier League 2,Astro Premier League 2
399505,Astro Grandstand,Astro Grandstand
399498,Astro Football,Astro Football
399506,Premier Sports Rugby,Premier Sports Rugby
399482,beIN SPORTS 1,beIN SPORTS 1
4008,HBO Family,HBO Family

拜恩体育beIN
7370,BeIN Sports 4K,BeIN Sports 4K
94061,BeIN Sports 1 EN,Bein Sports English 1
93994,BeIN Sports 2 EN,Bein Sports English 2


土耳其TR
387731,A Spor HD,A Spor
444115,TRT Spor Yıldız [TR],TRT Spor Yıldız
444098,S Sport [TR],S Sport
444123,S Sport 2 [TR],S Sport 2
411887,Spor Smart TR,Spor Smart
411899,Spor Smart 2 TR,Spor Smart 2
409702,Tivibu Spor [TR],Tivibu Spor
405488,Tivibu Spor 1,Tivibu Spor 1
405609,Tivibu Spor 2,Tivibu Spor 2
444097,Tivibu Spor 3 [TR],Tivibu Spor 3
405679,Sports TV TR,Sports TV

阿根廷AR
431624,FOX Sports HD [AR],FOX Sports
431621,FOX Sports 2 HD [AR],FOX Sports 2
431616,FOX Sports 3 HD [AR],FOX Sports 3

以色列IS
6578,Yes Sport 5,Yes Sport 5

印度IN
464175,ZEE CAFE,Zee Cafe
463984,STAR MOVIES,Star Movies
464114,STAR MOVIES SELECT,Star Movies Select
463905,MOVIES NOW,Movies Now
464026,and flix,And Flix
463869,and PRIVE HD,And Prive
464247,CARTOON NETWORK,Cartoon Network
463932,SONY PIX HD,Sony Pix
463835,NATIONAL GEOGRAPHIC,National Geographic

新西兰NZ
406527,Sky Sport Premier League [NZ],Sky Sport Premier League

斯洛伐克SK
406290,Arena Sport 1 SK,Arena Sport 1
406291,Arena Sport 2 SK,Arena Sport 2

匈牙利HU
393930,Sport 1 HU,Sport 1
449431,Sport 2 [HU],Sport 2

罗马尼亚RO
6832,Prima Sport 1 HD,Prima Sport 1
6830,Prima Sport 2 HD,Prima Sport 2
6831,Prima Sport 3 HD,Prima Sport 3
6828,Prima Sport 4 HD,Prima Sport 4

捷克CZ
6263,Nova Sport 1,Nova Sport 1
7410,Nova Sport 2,Nova Sport 2

菲律宾
399720,Cgnl Nba,NBA TV Philippines
322482,Pbarush Hd,PBA Rush
322490,Onesports,One Sports
322515,Onesportsplus Hd,One Sports Plus
322530,Tap Sports,Tap Sports
322516,Premier Tennishd,Premier Tennis
374489,PREMIERSPORTS2,Premier Sports 2
12650,SPOTV HD,SpoTV
322441,Spotv Hd2,SpoTV 2

格鲁吉亚GE
410320,Setanta Sports 1 Georgia,Setanta Sports 1
410319,Setanta Sports 2 Georgia,Setanta Sports 2








